traj_iter,theta1,theta2,theta3,E_exact,E_rem,E_unmit,residual_rem,residual_unmit
10,0.06744396397161301,0.028906133132883663,0.9646240097961288,-98.43509688328365,-98.02109757220364,-97.45201385196967,0.4139993110800049,0.9830830313139813
0,-0.09126830775062489,-0.012445149578022341,0.09572487520273126,-98.23705531398245,-97.96460386514411,-97.44000278040261,0.27245144883833916,0.7970525335798442
11,0.03505656740922332,0.06672319788222417,1.0231053976633366,-98.44079097662012,-98.04508513754617,-97.45681877202541,0.39570583907395473,0.983972204594707
11,0.10962252892521684,-0.021886802162459598,0.9630988985294662,-98.4319096779263,-98.05007986142202,-97.48461542229778,0.38182981650427905,0.9472942556285204
3,0.05431978594783949,0.06076407067500071,0.3158639632249553,-98.30668395333619,-97.95436429663732,-97.44328682755952,0.35231965669886733,0.8633971257766717
13,0.024602542801257527,-0.023484347201624935,1.1474402961065615,-98.451414755243,-98.011737120767,-97.44763299080718,0.4396776344759985,1.0037817644358142
2,0.017153431889363576,0.04026046973076183,0.17610047688256347,-98.26621851475669,-98.05309511013853,-97.47852215695521,0.21312340461815893,0.7876963578014795
12,0.11484499610007498,-0.010189478348692313,1.061795003669689,-98.44046168984293,-98.02072869790442,-97.46606444224889,0.4197329919385169,0.974397247594041
13,-0.04533545705401559,-0.030800990183469296,1.0933859920877693,-98.44654314118114,-98.02914581346728,-97.46503127264836,0.4173973277138572,0.9815118685327775
7,-0.010804492288888266,0.036622042923276796,0.6580145736122411,-98.38807514549737,-98.0207323127665,-97.45968867636955,0.3673428327308699,0.9283864691278154
0,0.0060906666381039115,0.0013974939377327136,0.061589852485040855,-98.23026167534836,-98.03164180097008,-97.48907532453285,0.19861987437828077,0.7411863508155108
2,-0.009908199122303498,-0.03967376365400231,0.15989432733312706,-98.25889601697757,-97.95886324193874,-97.43679606095606,0.3000327750388294,0.8220999560215176
10,-0.08879109972614967,-0.09003227050167056,0.9947248297790426,-98.4310465904956,-98.03386510726313,-97.46148615930039,0.3971814832324725,0.9695604311952053
0,0.10627006285956296,-0.01914602136178756,0.004620923272503614,-98.21303580741328,-97.94730390429075,-97.46197095947738,0.2657319031225285,0.7510648479358935
10,-0.003203641418489042,0.06698781441662253,0.9357608615864624,-98.4319678217507,-98.00924842094699,-97.4601647760103,0.4227194008037145,0.9718030457404012
2,0.009127480242538618,0.00766564199070697,0.11906295367689029,-98.24827386621317,-98.02533735203514,-97.48438398378802,0.22293651417803062,0.763889882425147
9,0.0649942727423089,-0.03749666903794807,0.9856555236239509,-98.43673960796097,-98.05672859489702,-97.47449371817171,0.3800110130639496,0.9622458897892585
8,0.09492438120893341,0.037045496668924524,0.6575051689751339,-98.38685858072871,-97.95601133967632,-97.44523239564761,0.4308472410523905,0.9416261850811054
0,0.0018322870915735224,0.03693705802758062,0.01873585007367587,-98.21740792871712,-97.86499129395763,-97.39689541717301,0.3524166347594928,0.8205125115441092
2,-0.016980442260524163,0.11621750633816247,0.2365594336386258,-98.28316791997038,-97.91109215603248,-97.42993118064958,0.3720757639379002,0.8532367393208062
15,-0.004951041157373638,0.11373691077912643,1.1809177193272464,-98.44707355390659,-98.0398677482962,-97.45553552897213,0.40720580561038844,0.9915380249344565
6,0.038980307760456794,0.05039019304735358,0.66073355107659,-98.38872927432246,-98.01384008189925,-97.4738836146564,0.37488919242321117,0.9148456596660566
7,0.045974775934881515,0.04131210828093718,0.7125672127742383,-98.39862913156952,-97.988356015592,-97.45937613525733,0.4102731159775175,0.9392529963121916
7,0.12528268032329404,0.03425921424323128,0.632403976443674,-98.38050027604255,-97.93352945790647,-97.4260052472774,0.4469708181360801,0.9544950287651517
8,-0.01096731755482682,0.003038350834379276,0.8479861955897261,-98.42125077556476,-98.0179104361126,-97.45932495014962,0.4033403394521571,0.9619258254151362
3,0.080178549562844,0.004725073000823643,0.3000375502268593,-98.30181205152707,-97.98905914676368,-97.44513830960543,0.3127529047633857,0.8566737419216395
0,-0.014732787912265241,-0.07173356990028669,-0.055054117542434236,-98.1900116577606,-97.93367805784541,-97.40957177407326,0.25633359991519455,0.7804398836873503
10,-0.046168306386796906,0.03303945313240133,0.9843651455882898,-98.43730643579364,-98.03117688457691,-97.46378672779937,0.4061295512167362,0.9735197079942708
4,0.018981602625810244,0.0020258824075606516,0.4343887919970719,-98.3373258977578,-98.04227418900936,-97.47496196728403,0.29505170874843145,0.8623639304737623
10,-0.027187912820592422,-0.08009492594445977,0.9407410435146872,-98.42980076474365,-98.02993811446422,-97.45000038413401,0.3998626502794309,0.9798003806096318
13,0.02596842277081305,-0.04443183848764504,1.0239713781356758,-98.4414486948266,-98.01830520213467,-97.46420223514303,0.42314349269193485,0.9772464596835704
6,-0.004052930900190991,-0.03906544696532172,0.5845690809289965,-98.37155386612906,-97.97009251300805,-97.44380551801876,0.4014613531210074,0.927748348110299
6,0.01673394893224276,0.03800824692186331,0.6446364509455336,-98.3857029548724,-98.05883571213016,-97.49340350958282,0.3268672427422388,0.8922994452895807
2,0.013862359516935933,0.04315492539430604,0.2218659197036263,-98.2796742349214,-97.91248966442748,-97.41218409985278,0.3671845704939187,0.8674901350686213
11,-0.06553883632691944,0.003296330045253518,0.9488800721768325,-98.43243423317699,-98.0529505846132,-97.4769316522331,0.3794836485637916,0.955502580943886
11,-0.04353805213430206,0.018390424393980757,1.0557997741437755,-98.44440045040184,-98.04077480756956,-97.47330606509792,0.40362564283228153,0.9710943853039282
